0,20.1664
1,36.5783
2,70.2479
3,58.952
4,24.3156
5,14.4361
6,49.6908
7,52.9174
8,70.7437
9,61.4172
10,66.5729
11,77.6158
12,119.609
13,59.4297
14,61.8923
15,82.7715
16,22.5848
17,95.8943
18,50.5205
19,67.77
20,46.7789
21,15.2942
22,40.3548
23,82.2146
24,69.8346
25,72.5943
26,153.415
27,56.3828
28,67.2626
29,64.5158
30,56.67
31,65.291
32,80.1219
33,55.0779
34,73.1778
35,133.599
36,42.9214
37,9.99581
38,29.0166
39,31.437
40,23.2056
41,85.5301
42,48.7238
43,111.711
44,92.3196
45,95.2754
46,45.1866
47,43.4509
48,59.8671
49,67.2268
50,47.3683
51,53.1716
52,107.364
53,55.8082
54,38.0653
55,37.5816
56,18.3418
57,81.2475
58,19.9324
59,42.5832
60,83.5247
61,55.8532
62,64.0393
63,57.0376
64,93.5513
65,25.2685
66,43.2252
67,82.6584
68,64.734
69,10.3025
70,16.3421
71,33.6464
72,31.7861
73,53.5137
74,22.4247
75,19.8872
76,41.4173
77,22.2609
78,26.9493
79,48.4024
80,72.2535
81,152.322
82,9.79327
83,70.2846
84,58.4842
85,100.266
86,80.3508
87,75.9859
88,46.0836
89,60.3312
90,13.6702
91,66.0174
92,78.9121
93,67.7675
94,86.957
95,41.3703
96,61.7606
97,53.4873
98,79.527
99,46.7275
100,74.6837
101,61.2363
102,110.589
103,63.3881
104,107.146
105,20.0847
106,64.9876
107,63.3368
108,67.2652
109,24.9368
110,55.191
111,11.4788
112,111.657
113,80.3627
114,126.941
115,60.8006
116,107.13
117,92.3001
118,110.054
119,91.8546
120,122.656
121,69.5033
122,76.5511
123,113.18
124,69.0359
125,48.3359
126,75.2549
127,121.511
128,189.936
